Year,Growth,Value
1984,-5.50,-8.59
1985,39.91,22.10
1986,13.03,14.74
1987,-1.70,-8.58
1988,16.05,29.05
1989,41.64,22.95
1990,3.59,-12.82
1991,48.33,26.20
1992,7.94,21.15
1993,16.19,22.94
1994,-2.22,7.63
1995,39.61,27.13
1996,16.81,16.85
1997,18.91,21.08
1998,27.23,0.18
1999,79.48,8.55
2000,-6.32,8.10
2001,-25.31,12.25
2002,-33.45,-9.25
2003,41.36,34.43
2004,12.12,21.21
2005,13.50,14.27
2006,9.56,15.09
2007,19.89,2.21
2008,-40.90,-46.52
2009,41.15,44.08
2010,20.55,22.27
2011,0.67,-6.71
2012,18.52,21.90
2013,37.61,37.07
2014,14.44,11.72
2015,7.83,-6.51
2016,6.01,16.06
2017,36.76,15.67
2018,-4.53,-17.34
2019,38.42,31.62
